DATE,CHNMAINLANDEPU
1949-10-01,87.2373217864418
1949-11-01,40.5456269269636
1949-12-01,40.0747425066627
1950-01-01,39.4241002651234
1950-02-01,200.476593624438
1950-03-01,87.4157852094806
1950-04-01,173.327102234217
1950-05-01,90.3371243623844
1950-06-01,668.868176104951
1950-07-01,266.844369345541
1950-08-01,225.817263171872
1950-09-01,186.468369570251
1950-10-01,251.652721215202
1950-11-01,186.787118919943
1950-12-01,152.465881650588
1951-01-01,108.007727113552
1951-02-01,327.685314614383
1951-03-01,213.623898505672
1951-04-01,423.839556625181
1951-05-01,97.6355602991813
1951-06-01,249.765061780406
1951-07-01,324.507669933317
1951-08-01,111.468008310516
1951-09-01,399.289639259679
1951-10-01,525.061726504422
1951-11-01,611.993559928603
1951-12-01,436.672353883866
1952-01-01,509.663382677666
1952-02-01,358.078359902062
1952-03-01,359.516928272694
1952-04-01,232.490350145036
1952-05-01,55.0480929814444
1952-06-01,116.971059305798
1952-07-01,104.89964598544
1952-08-01,51.5426719661165
1952-09-01,293.737807978943
1952-10-01,146.018438175724
1952-11-01,133.25666410752
1952-12-01,312.20132733762
1953-01-01,612.737178156923
1953-02-01,789.137530815803
1953-03-01,262.138843524014
1953-04-01,550.400762907658
1953-05-01,454.828179581361
1953-06-01,552.719997710675
1953-07-01,466.469879995292
1953-08-01,118.343463431227
1953-09-01,200.583664737966
1953-10-01,573.214632187274
1953-11-01,264.707276351504
1953-12-01,319.88588936059
1954-01-01,66.0248979237518
1954-02-01,210.847541032095
1954-03-01,434.728776233145
1954-04-01,234.432710577785
1954-05-01,160.429719594372
1954-06-01,174.600588317324
1954-07-01,154.012431507308
1954-08-01,49.9331902063216
1954-09-01,524.675454400328
1954-10-01,111.216757830195
1954-11-01,204.581446831737
1954-12-01,268.917045516098
1955-01-01,150.833463360966
1955-02-01,73.4534994360265
1955-03-01,0.0
1955-04-01,102.201525706781
1955-05-01,147.31366262292
1955-06-01,263.654874602095
1955-07-01,677.324191664716
1955-08-01,210.672427149683
1955-09-01,114.248519910523
1955-10-01,112.814847348773
1955-11-01,220.983215826569
1955-12-01,0.0
1956-01-01,172.213901908114
1956-02-01,250.897640073456
1956-03-01,105.05898768345
1956-04-01,130.233117658716
1956-05-01,42.9072504848823
1956-06-01,265.246090934946
1956-07-01,43.0198679402232
1956-08-01,83.5328327036156
1956-09-01,268.908563516449
1956-10-01,0.0
1956-11-01,68.2872478976946
1956-12-01,289.463019596112
1957-01-01,325.970146367128
1957-02-01,0.0
1957-03-01,118.93383898576
1957-04-01,32.4244701982691
1957-05-01,583.335131513184
1957-06-01,219.539473560577
1957-07-01,141.756278358703
1957-08-01,0.0
1957-09-01,273.523627589274
1957-10-01,0.0
1957-11-01,0.0
1957-12-01,140.45391438475
1958-01-01,0.0
1958-02-01,132.315396046216
1958-03-01,99.8703555570262
1958-04-01,94.8116829224877
1958-05-01,112.642254348491
1958-06-01,56.0121988388725
1958-07-01,24.3183526487018
1958-08-01,52.9796191845658
1958-09-01,0.0
1958-10-01,0.0
1958-11-01,32.2331753888398
1958-12-01,0.0
1959-01-01,69.6052922045435
1959-02-01,171.516752755788
1959-03-01,101.918090045784
1959-04-01,73.6678578974157
1959-05-01,28.5549994516116
1959-06-01,0.0
1959-07-01,30.2828077325174
1959-08-01,0.0
1959-09-01,.
1959-10-01,35.210676015521
1959-11-01,32.6018293092492
1959-12-01,116.735173810913
1960-01-01,0.0
1960-02-01,0.0
1960-03-01,.
1960-04-01,272.388056291369
1960-05-01,0.0
1960-06-01,105.591558200428
1960-07-01,180.095749691695
1960-08-01,0.0
1960-09-01,33.5528550362846
1960-10-01,31.966006212043
1960-11-01,182.9617757545
1960-12-01,0.0
1961-01-01,0.0
1961-02-01,186.989031897638
1961-03-01,32.1068945841823
1961-04-01,0.0
1961-05-01,173.355779863179
1961-06-01,124.302649729085
1961-07-01,34.7995110089704
1961-08-01,76.8838151457293
1961-09-01,195.562105393716
1961-10-01,0.0
1961-11-01,75.4288425483499
1961-12-01,75.6549030155278
1962-01-01,161.300442850997
1962-02-01,0.0
1962-03-01,37.0617743023743
1962-04-01,77.2760795087177
1962-05-01,0.0
1962-06-01,74.8325671131851
1962-07-01,0.0
1962-08-01,223.393976160894
1962-09-01,46.4651160459959
1962-10-01,0.0
1962-11-01,0.0
1962-12-01,71.7145434834691
1963-01-01,48.3141331915256
1963-02-01,50.0857744391904
1963-03-01,123.051357175574
1963-04-01,79.8845547663959
1963-05-01,0.0
1963-06-01,82.5851231390876
1963-07-01,84.2386628682351
1963-08-01,178.106308918668
1963-09-01,0.0
1963-10-01,217.664667513226
1963-11-01,50.9815542308711
1963-12-01,49.9331902063216
1964-01-01,85.6680519440536
1964-02-01,220.467417521232
1964-03-01,49.5932516950834
1964-04-01,0.0
1964-05-01,94.6631973981792
1964-06-01,178.450843225949
1964-07-01,46.3665337630129
1964-08-01,48.5287037312363
1964-09-01,94.0752272280042
1964-10-01,125.236491286164
1964-11-01,191.965926282746
1964-12-01,43.1330781190133
1965-01-01,203.655534597481
1965-02-01,0.0
1965-03-01,262.414373859757
1965-04-01,72.8874694173432
1965-05-01,73.7068900965714
1965-06-01,0.0
1965-07-01,70.1200842148666
1965-08-01,162.015109474105
1965-09-01,0.0
1965-10-01,33.6562005856777
1965-11-01,93.7259380179992
1965-12-01,0.0
1966-01-01,405.479701163257
1966-02-01,167.628890235311
1966-03-01,159.648406024919
1966-04-01,393.668551011403
1966-05-01,149.075901414455
1966-06-01,0.0
1966-07-01,227.836514575498
